educ,salary,salbegin,prevexp
12,24000,11250,16
8,19800,10200,75
15,30600,16500,216
15,28950,15000,108
15,38400,16500,64
8,30750,15000,302
12,20400,10950,9
12,19200,11100,7
15,30150,15750,72
16,34620,27750,149
15,80000,15750,34
12,25350,15000,32
12,29850,15750,85
12,24000,13800,97
15,27750,19500,265
8,22350,10200,48
12,16200,10200,0
15,21900,12750,0
16,23250,15750,4
12,33900,12000,11
15,25650,14250,51
12,17250,10200,358
15,22500,15000,371
16,40200,21000,3
19,55500,33750,62
15,26550,15000,52
15,50550,19500,44
19,75000,31500,13
8,27450,12000,9
12,22650,11250,0
12,27300,11250,5
12,27750,11225,5
16,54375,18750,81
8,17400,10200,390
12,40800,18000,4
12,23100,10950,0
8,22500,10950,5
12,26700,11550,18
12,24900,11250,0
12,19650,10950,11
12,22050,10950,9
12,25500,12000,11
15,28200,12750,19
12,23100,11250,13
12,25500,11400,9
8,17100,10200,0
18,68125,32490,29
12,30600,15750,460
19,52125,27480,221
19,61875,36750,199
8,21300,11550,24
12,19650,11250,5
12,22350,11250,5
12,23400,11250,18
12,24300,10950,8
12,28500,11250,4
12,19950,11250,8
12,23400,11250,0
16,34500,17250,3
12,18150,10950,0
12,22350,15000,272
15,40200,17250,38
15,28650,18000,261
15,27750,16500,55
18,66875,31980,30
12,30000,15750,308
16,83750,21750,12
12,33900,16500,94
16,56500,21000,12
16,43000,17490,20
8,20850,12000,70
12,24450,12000,8
12,24750,10950,5
8,34500,15750,246
14,27900,15000,47
19,68125,32010,35
19,73500,33000,45
8,30750,15750,429
15,40050,25500,133
16,40350,19500,20
15,38700,23730,176
17,65000,30750,26
18,51450,36240,149
12,35250,15750,387
14,25950,15000,53
15,25050,14250,24
12,26700,12750,25
8,24000,15750,476
12,26850,15000,48
12,23400,15300,209
12,24600,13500,47
15,32550,18000,6
16,26550,15000,105
12,31500,13500,7
8,22350,15000,320
12,35250,15750,281
15,25800,13500,51
12,30750,15750,317
15,30750,16500,41
16,50000,32490,264
15,34500,18000,63
15,26250,15750,38
16,44875,21240,22
12,22500,12000,63
12,25650,14250,64
12,21300,11250,0
12,29850,13500,38
12,34500,12150,4
15,27750,15000,52
12,27750,11550,12
16,48750,21990,61
15,43410,15750,12
12,22050,15000,385
12,22050,12000,6
12,22500,14250,90
15,25500,12000,7
12,29160,15000,22
8,16800,10200,76
8,29550,15750,144
12,26700,15750,18
18,55000,32490,125
18,62500,34980,74
15,27300,17250,132
12,24450,12000,144
16,33000,18000,26
15,37050,18000,5
12,24450,10950,32
8,31950,15750,408
16,47250,21240,45
12,26100,11550,2
8,15900,10200,43
8,23700,10650,281
8,21750,12450,318
12,59400,33750,272
12,24450,14250,117
16,103500,60000,150
12,35700,16500,72
12,22200,16500,7
15,22950,13950,22
12,23100,12000,228
16,56750,30000,15
17,29100,12750,375
12,37650,15750,132
12,27900,13500,32
8,21150,12000,159
12,31200,15750,155
12,20550,11250,154
15,25950,17250,83
15,28350,15000,48
8,17700,10200,184
15,23550,13500,49
12,19950,10200,56
12,29400,15300,30
12,28800,13950,18
8,16950,10200,319
16,35700,18000,138
12,17400,10200,116
8,21450,10200,194
12,24750,12000,68
12,16950,10200,271
12,26100,13500,169
14,28050,15000,15
16,36600,18000,12
16,58125,18000,11
15,21300,15750,372
12,22500,16500,216
15,29400,15750,15
12,27450,14700,41
15,29850,15750,48
15,25350,15750,56
8,15750,10200,275
8,19650,13050,102
12,21000,13500,82
17,27000,18000,192
12,24000,15750,120
17,78500,28740,67
12,20850,13050,127
12,30000,15750,348
8,28500,15750,174
19,65000,31980,74
14,30150,16500,110
19,66875,32490,81
15,24150,13500,7
12,24450,12450,12
12,21600,12000,0
12,27900,12450,0
8,29100,12450,17
12,22650,11250,2
12,20850,11250,0
12,22950,12300,5
12,30600,12450,5
12,20400,11250,0
12,23850,12750,20
12,22800,11250,0
12,20700,11250,2
12,21300,11250,3
12,24300,15000,121
12,19650,13950,133
17,60000,32490,17
15,30300,15750,55
19,61250,33000,9
19,36000,19500,21
8,25200,18750,344
12,16200,10200,180
12,22800,11250,2
16,43500,19500,11
8,30300,15750,155
15,31950,15750,70
15,35250,13500,6
15,37800,15000,36
15,31200,15750,46
15,29400,16500,68
19,70000,35040,75
15,33900,15750,96
15,27150,16500,78
12,22200,13800,196
15,31350,11100,47
12,20850,13500,181
16,33300,17490,120
8,26250,16050,97
15,31950,15750,58
8,30000,15750,305
19,66250,34980,99
18,86250,45000,50
12,30750,15000,56
12,33540,15750,47
16,34950,20250,55
15,40350,16500,80
12,30270,15750,80
8,26250,16050,264
15,32400,15000,64
12,20400,11250,0
8,24150,12750,96
15,23850,13500,122
12,29700,13500,26
8,21600,13500,228
12,24450,15750,87
15,28050,16500,84
16,100000,44100,128
15,49000,20550,86
12,16350,10200,163
16,70000,21750,19
19,55000,34980,129
15,28500,14250,20
12,28800,18000,210
15,24450,15750,338
19,90625,31250,18
16,43650,19500,19
19,75000,42510,54
15,31650,14250,10
19,61875,28740,26
12,21750,11250,0
12,22500,12750,24
8,21600,13500,173
16,34410,19500,79
15,20700,14250,241
19,47550,33000,27
12,33900,16500,106
12,23400,13500,198
16,32850,19500,20
16,55750,19980,36
15,25200,13950,57
12,26250,15750,69
15,26400,15750,32
15,39150,15750,46
12,21450,12750,139
12,29400,14250,9
