No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
43,3,3,3,2,2,4,2,2,4,4,4,1,3,2,2,2,4,2,2,4,2,2,4,4,2,2,4,2,1,1,3,3,2,1
44,3,2,1,5,2,4,2,2,1,4,4,1,3,2,2,1,4,1,2,3,2,2,4,4,1,1,4,2,5,5,1,5,1,1
45,2,4,4,4,3,4,3,3,5,4,2,2,2,3,1,1,4,1,2,4,4,1,4,4,1,1,4,4,4,4,3,2,5,4
46,2,4,3,2,3,5,3,3,4,5,4,1,2,3,3,1,5,4,2,3,4,3,4,4,1,4,4,4,2,2,3,5,4,4
47,3,1,2,5,5,1,5,5,2,1,4,3,3,5,4,4,1,4,4,3,4,4,4,4,4,4,4,1,5,5,2,5,2,2
48,2,3,2,5,2,1,2,2,2,1,2,4,2,2,4,4,1,4,3,3,5,4,3,3,4,4,3,3,5,5,2,3,2,3
49,3,5,4,2,3,5,3,3,5,5,4,5,3,3,5,5,5,5,5,2,4,5,2,2,5,5,2,5,2,2,4,2,5,5
50,2,3,3,3,2,1,2,2,3,1,2,1,2,2,4,3,1,2,2,1,3,4,1,1,3,2,1,2,2,2,3,5,2,2
51,3,4,5,4,4,1,4,4,5,1,5,4,3,4,5,4,1,5,5,3,5,5,3,3,4,5,3,4,4,4,5,3,5,4
52,4,2,1,2,3,3,4,3,1,3,3,2,4,3,1,2,3,2,3,3,5,1,2,3,2,2,3,2,2,2,2,5,1,2
53,3,4,5,4,4,2,2,1,5,2,4,1,3,4,1,4,2,5,3,3,5,1,3,3,4,5,3,4,4,4,2,5,5,5
54,2,3,3,5,3,3,3,2,4,3,1,4,2,3,2,4,3,2,4,3,5,2,3,3,4,2,3,3,5,5,4,2,4,5
55,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,5,2,2
56,1,2,2,4,1,1,1,1,3,1,5,2,1,1,1,1,1,1,2,4,5,1,3,3,1,1,3,2,4,4,2,3,3,2
57,3,5,5,5,3,3,3,3,5,3,5,4,3,3,4,4,3,4,3,3,5,4,3,3,4,4,3,5,5,5,2,3,5,5
58,2,2,1,2,2,2,2,2,2,2,5,2,2,2,1,2,2,1,2,1,3,1,1,1,2,1,1,2,2,2,2,5,2,2
59,5,2,1,2,5,5,5,5,2,5,5,1,5,5,1,1,5,5,3,4,5,1,3,3,1,5,3,2,2,2,2,5,2,1
60,3,1,1,1,3,5,3,3,2,5,2,1,3,3,3,3,5,5,2,2,2,3,1,2,3,5,2,1,1,1,5,4,2,2
61,4,3,4,4,4,4,4,4,3,4,5,4,4,4,5,5,4,5,5,4,1,5,3,3,5,5,3,3,4,4,2,3,3,5
62,1,3,4,5,1,1,1,1,4,2,1,2,1,1,1,2,1,2,1,3,1,1,3,3,2,2,3,3,5,5,5,4,4,5
63,5,3,4,5,5,5,5,5,5,1,1,3,5,5,5,4,5,5,3,3,4,5,3,3,4,5,3,3,5,5,5,4,5,5
64,3,3,3,4,3,3,3,3,3,1,4,5,3,3,4,4,3,4,5,4,3,4,1,3,4,4,3,3,4,4,3,3,3,4
65,4,3,2,4,4,4,4,4,5,4,4,1,4,4,2,1,4,1,3,5,5,2,5,5,1,1,5,3,4,4,2,5,5,2
66,4,1,1,2,4,4,4,4,2,1,5,4,4,4,1,4,4,4,5,4,4,1,4,4,4,4,4,1,2,2,4,4,2,3
67,4,3,2,4,4,4,4,4,5,4,4,1,4,4,2,1,4,1,1,4,4,2,4,4,1,1,4,3,4,4,2,3,5,4
68,5,3,3,4,5,5,5,5,4,1,2,2,5,5,1,3,5,1,3,4,4,1,1,3,3,1,3,3,4,4,4,4,4,5
69,5,3,4,5,5,5,5,5,3,5,2,1,5,5,4,2,5,2,1,4,3,4,3,4,2,2,3,3,5,5,2,3,3,5
70,3,3,4,4,1,3,4,2,5,3,3,2,3,1,5,1,3,2,2,5,5,5,5,4,1,2,5,3,4,4,2,3,5,4
71,5,3,3,4,1,1,1,1,4,2,4,3,5,1,4,3,1,5,3,1,1,4,1,1,3,5,1,5,5,5,3,4,5,5
72,5,3,5,5,5,1,4,2,4,2,4,4,5,5,5,5,1,5,5,4,3,5,4,3,5,5,3,3,5,5,1,4,4,2
73,3,2,2,2,3,3,3,3,1,3,2,1,3,3,1,2,3,2,1,3,5,1,2,3,2,2,2,2,2,2,4,2,1,1
74,3,4,5,5,2,2,1,1,5,1,5,3,3,2,2,5,2,5,5,2,2,2,3,3,5,5,3,4,5,5,1,5,5,5
75,3,3,5,5,5,3,2,4,5,2,3,1,3,5,1,2,3,5,1,3,4,1,3,1,2,5,2,3,5,5,1,5,5,4
76,5,4,4,5,5,5,5,5,4,1,4,4,5,5,4,4,5,5,4,2,2,4,2,2,4,5,2,4,5,5,3,1,4,5
77,4,4,5,4,4,4,4,4,4,2,4,4,4,4,1,4,4,5,4,4,5,1,4,4,4,5,5,4,4,4,1,3,4,5
78,5,3,3,4,5,5,5,5,4,4,4,4,5,5,4,4,5,5,3,1,3,3,5,3,3,3,3,3,4,4,3,5,4,5
79,5,4,3,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,4,4,3,3,4,4,4,4,5,5,1,3,5,5
80,4,3,4,4,4,4,4,4,4,3,1,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,3,4,4,3,4,4,5
81,5,3,4,4,5,5,5,5,5,5,1,2,5,5,3,4,5,5,5,3,4,4,3,2,4,4,4,3,4,4,4,2,5,5
82,4,3,3,5,4,4,4,4,4,3,5,5,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,3,3,5,4,4,4,4
83,2,3,2,4,2,2,2,2,4,3,2,1,2,2,1,1,2,4,1,3,4,4,4,3,4,4,4,1,1,2,1,3,2,1
84,1,4,5,5,1,1,1,1,5,1,2,1,1,1,2,1,1,4,1,3,4,4,4,3,4,4,4,4,5,5,3,1,5,5
85,4,3,3,3,4,4,4,4,4,2,5,5,4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,3,3,5,5
86,4,3,4,4,4,4,4,4,4,1,2,1,4,4,2,1,4,1,1,4,4,4,4,4,4,4,4,3,4,4,4,1,4,5
87,3,2,1,4,3,1,3,3,3,4,4,4,3,3,5,4,1,4,4,1,1,1,1,1,1,1,1,2,1,4,4,2,3,4
88,1,3,3,4,1,1,1,1,4,2,5,1,1,1,1,2,1,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4
89,5,3,4,4,5,5,5,5,4,5,4,3,5,5,3,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2
90,4,1,1,1,2,2,2,1,1,5,3,4,4,2,5,4,2,4,4,1,1,3,1,1,3,3,1,1,1,1,5,1,1,1
91,5,4,5,5,5,5,5,5,5,2,1,3,1,5,2,3,5,2,2,4,4,4,4,4,4,4,4,4,5,5,4,2,5,5
92,4,4,4,5,1,1,1,2,5,5,2,5,4,1,4,4,1,5,5,1,1,1,1,1,1,1,1,4,4,5,1,5,5,5
93,2,4,4,4,1,1,1,2,4,3,3,4,4,2,4,3,2,5,5,5,4,2,4,4,4,2,1,4,4,4,1,5,4,4
94,5,2,1,2,4,2,2,4,2,5,2,3,5,4,2,2,2,5,5,3,3,2,4,4,3,2,2,2,1,2,1,5,2,2
95,4,4,3,4,2,2,3,1,4,1,3,3,4,2,5,3,2,3,4,3,5,2,5,4,3,2,2,4,3,4,3,4,4,5
96,5,4,5,5,4,5,5,4,5,5,1,1,5,4,2,1,5,1,3,4,5,1,5,5,5,2,1,4,5,5,5,3,5,5
97,4,1,4,4,5,4,3,4,5,4,2,2,4,5,5,2,4,4,2,5,5,1,3,4,3,2,2,2,2,3,2,2,3,3
98,4,1,5,2,4,3,3,3,4,4,3,3,2,4,3,4,3,4,4,4,5,5,4,4,3,2,1,3,4,4,2,4,5,5
99,4,1,2,2,3,1,2,4,4,4,4,4,4,3,4,4,1,4,3,5,5,1,5,5,5,2,1,3,4,4,2,3,4,4
100,4,3,5,4,2,2,3,4,1,1,2,2,4,2,1,1,2,1,2,1,5,5,1,1,1,5,2,2,2,4,1,2,4,5
101,1,1,4,2,1,2,5,3,2,1,3,3,1,1,4,3,2,3,5,1,2,2,1,1,1,5,1,3,5,3,3,5,4,5
102,2,1,4,1,4,2,3,3,1,5,2,2,2,4,1,2,2,1,2,2,1,2,3,3,4,2,1,1,1,2,1,2,1,1
103,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,2,5,2,2,5,2,2,4,5,4,1,1,1,1,1,2,2,1,1
104,5,5,5,5,5,5,5,5,5,4,4,4,5,5,4,4,5,4,2,3,2,2,4,4,4,1,1,4,4,4,4,2,5,5
105,4,4,4,4,4,4,4,2,4,2,1,1,4,4,1,2,4,2,2,1,5,5,1,2,1,1,2,4,4,5,2,2,4,4
106,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,4,2,5,4,1,3,2,1,3,5,5,5,4,5,5
107,4,2,2,2,4,4,4,4,2,2,2,2,2,2,1,1,2,1,2,4,5,5,5,4,2,2,2,5,1,4,1,2,4,5
108,2,2,2,2,2,2,2,4,2,4,1,1,2,2,1,1,2,2,3,4,2,4,2,4,2,2,1,2,1,3,2,3,4,4
109,4,4,4,4,4,4,4,5,4,2,5,5,4,4,5,5,4,4,5,5,2,5,5,1,5,5,2,4,1,3,4,5,4,4
110,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,5,4,5,5,4,2,5,5,4,4,4,1,4,5,5,4,5,5,5
111,4,4,4,3,4,3,4,5,4,1,3,4,4,4,5,5,3,5,5,1,2,3,2,2,2,1,1,4,2,2,4,4,2,5
112,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,4,5,4,4,4,4,4,1,5,4,2,5,4,2,5
113,3,1,1,1,3,3,3,3,1,4,1,1,3,3,1,2,3,2,2,4,5,5,5,1,4,5,2,1,2,1,2,2,1,2
114,4,4,4,4,4,2,4,5,4,3,4,4,4,4,3,4,2,4,3,5,2,4,4,5,5,4,1,4,5,5,4,3,5,5
115,4,4,4,4,4,2,4,5,4,5,4,4,4,4,2,4,2,4,3,5,4,5,4,4,4,2,4,4,1,1,4,3,1,1
116,5,4,4,4,5,4,5,4,4,2,4,4,4,4,5,4,2,4,5,4,4,5,4,1,5,2,1,2,1,2,1,2,1,2
117,4,4,4,4,4,2,4,5,4,2,1,1,4,4,3,1,2,1,3,4,3,4,5,5,4,2,5,4,1,2,1,3,2,3
118,5,4,1,4,5,2,3,5,4,4,4,3,5,5,4,4,2,4,4,2,2,5,1,3,3,5,3,1,1,1,4,4,2,2
119,5,4,5,4,5,5,3,2,2,4,1,1,1,5,2,1,5,1,2,5,5,5,5,5,5,2,5,4,1,4,1,2,4,5
120,1,2,2,1,1,1,2,1,4,4,2,2,1,1,2,1,1,1,1,2,4,2,4,4,4,2,4,1,1,2,1,1,1,1
121,5,2,2,1,4,5,3,4,1,1,5,5,2,4,5,5,5,5,5,1,4,2,1,1,1,5,1,1,2,2,5,4,2,2
122,1,2,5,3,5,1,5,1,4,4,2,3,1,5,2,2,1,4,2,4,4,4,2,4,2,5,4,4,2,4,4,2,4,5
123,4,5,4,4,2,4,1,5,2,1,2,4,4,2,4,2,4,4,2,2,4,4,1,2,1,5,2,4,2,4,4,2,2,4
124,4,1,1,1,4,5,5,4,4,3,2,3,3,3,3,2,4,4,2,2,5,4,3,4,3,2,3,4,5,5,4,2,4,1
125,5,5,4,3,4,5,4,4,2,2,4,1,5,4,4,3,5,2,1,4,3,1,4,4,3,2,4,4,3,4,2,1,3,4
126,4,1,3,3,4,3,2,4,5,3,1,2,4,4,1,2,3,3,2,5,2,4,4,4,4,2,5,4,4,4,3,2,5,4
127,1,2,2,2,2,5,4,4,4,3,1,2,1,2,3,3,5,4,2,3,4,5,3,3,3,5,3,4,4,4,3,4,4,3
128,2,5,5,4,4,3,5,2,5,5,4,4,2,4,4,5,3,5,2,4,5,5,5,5,4,2,5,4,4,4,4,5,4,5
129,4,2,4,3,2,5,5,4,4,4,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,4,5,5,4,2
130,1,5,5,4,4,3,3,4,2,2,5,5,1,4,5,5,3,5,5,4,2,4,2,4,2,4,4,4,2,4,4,2,4,1
131,2,3,4,1,4,4,5,5,5,2,5,4,2,4,4,4,4,4,4,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2
132,4,1,2,3,2,2,2,5,3,1,2,4,4,2,4,4,2,4,2,5,5,4,4,5,4,4,5,4,3,3,5,5,4,2
133,2,5,2,2,4,5,1,5,4,5,5,5,2,4,5,5,5,5,5,4,4,4,3,4,4,4,4,4,2,4,4,4,3,4
134,5,2,5,4,5,5,3,5,1,2,1,1,5,5,2,1,5,1,1,4,3,4,3,3,3,4,4,4,4,4,4,3,3,5
135,2,3,1,2,2,5,5,2,4,2,3,1,2,2,3,3,5,5,1,2,4,4,2,1,2,3,2,2,2,2,2,4,2,5
136,5,5,1,4,5,5,1,5,4,2,4,4,4,4,4,5,3,5,5,4,4,5,4,3,4,4,4,5,5,5,4,4,4,5
137,1,5,4,3,2,2,3,2,2,2,4,5,2,3,5,5,4,5,4,4,2,2,2,2,2,2,2,1,1,2,4,2,2,2
138,3,2,1,4,1,3,2,3,5,4,3,3,2,2,1,2,1,5,2,2,4,4,3,4,4,4,4,5,3,4,2,4,4,4
139,5,5,1,4,1,1,5,5,5,5,3,2,1,1,2,1,2,1,1,5,5,5,4,1,5,5,4,4,4,4,5,5,4,3
140,4,2,4,4,5,5,5,5,4,5,1,1,1,2,1,1,1,1,2,2,4,5,3,5,5,4,3,4,3,4,2,4,4,5
141,5,5,1,5,5,5,5,5,5,5,2,4,3,4,3,4,3,4,4,2,5,5,3,5,5,5,2,5,4,5,2,5,5,5
142,4,2,2,4,1,1,3,1,2,2,1,1,1,2,1,1,1,1,1,4,4,4,2,2,2,4,3,4,2,3,4,4,4,2
143,2,2,4,1,5,4,5,5,1,1,2,3,4,3,4,4,4,4,3,4,4,4,2,4,2,4,3,4,4,4,4,4,4,4
144,1,1,5,2,1,1,1,1,4,3,1,1,2,1,2,2,2,2,1,3,4,4,3,4,5,4,4,1,1,1,3,4,2,2
145,4,4,1,3,2,2,2,5,2,3,4,2,2,2,1,1,2,2,2,4,5,2,3,4,2,3,5,4,3,5,4,5,5,5
146,1,4,2,3,5,3,2,4,2,3,4,1,4,1,2,1,2,1,2,5,4,4,3,3,4,3,4,4,4,4,5,4,4,5
147,5,5,1,4,2,3,2,5,1,4,4,3,3,4,4,4,2,4,3,4,4,5,4,5,4,5,4,5,4,4,4,4,4,1
148,4,4,1,3,1,5,4,2,4,2,1,2,4,1,2,2,1,2,1,4,2,3,2,2,2,2,2,4,5,4,4,2,4,4
149,5,4,3,4,4,4,4,1,4,4,4,3,4,2,1,2,2,5,4,2,5,5,3,4,5,5,5,4,4,4,2,5,4,5
150,4,3,1,4,2,4,4,5,5,4,2,1,3,2,4,5,2,5,2,5,5,4,4,5,3,4,5,5,3,4,5,5,3,4
151,1,1,1,1,1,1,1,1,1,1,5,4,4,5,3,4,3,4,5,5,5,5,4,5,5,5,5,1,1,2,5,5,2,3
152,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,3,1,1,4,4,4,3,4,4,4,4,3,2,4,4,4,5,4
153,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,2,2,4,5,4,3,4,4,3,5,2,1,2,4,5,2,3
154,5,5,5,5,5,5,5,5,5,5,2,1,4,1,4,2,3,2,1,5,4,3,3,5,3,4,4,4,4,5,5,4,3,3
155,5,3,2,1,1,3,4,2,1,3,3,2,2,5,5,1,3,2,2,4,4,4,3,2,1,4,4,4,4,4,4,4,5,4
156,5,5,5,5,1,1,1,1,3,2,2,1,4,2,2,1,3,3,1,2,2,2,1,1,5,2,1,2,1,2,2,2,2,2
157,5,5,4,4,5,1,4,2,3,2,4,4,3,4,5,5,2,5,5,5,5,3,5,4,4,3,4,4,5,5,5,5,4,2
158,1,1,4,2,1,1,1,1,2,3,1,2,4,4,2,1,1,1,2,4,4,4,3,4,5,3,4,2,2,2,4,4,1,1
159,5,4,3,5,2,4,1,1,1,1,5,3,4,5,2,5,3,5,5,3,2,4,4,4,4,2,3,5,5,5,3,2,5,5
160,1,3,4,5,5,5,2,4,3,2,3,1,3,4,1,2,3,5,1,4,4,5,4,1,4,3,4,4,5,5,4,4,5,4
161,3,3,3,3,3,5,3,3,3,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,4,3,4,1,1,3,4
162,5,4,5,4,5,4,5,4,5,4,1,1,2,2,1,2,2,2,2,4,5,5,5,1,4,5,5,1,2,1,4,5,1,2
163,4,4,4,4,4,4,4,5,4,3,4,4,3,4,3,4,4,4,3,5,2,4,4,5,5,4,3,4,5,5,5,2,5,5
164,4,4,4,4,4,4,4,5,4,5,5,5,3,4,3,5,4,5,4,5,4,5,4,4,4,2,4,4,4,4,5,4,4,4
165,5,4,1,4,5,2,3,5,4,4,4,3,4,3,4,4,3,4,4,1,1,5,1,2,3,5,2,1,1,1,1,1,2,2
166,1,4,5,4,5,5,3,2,2,4,1,1,2,1,2,1,3,1,2,5,5,5,5,5,5,2,5,4,1,4,5,5,4,5
167,2,2,2,1,2,2,5,2,4,4,2,2,2,1,2,1,2,1,2,2,4,2,4,4,4,2,4,1,1,2,1,2,1,1
168,2,2,2,1,4,5,3,4,1,1,1,2,2,1,2,1,3,2,2,1,2,2,1,1,1,5,1,3,4,4,2,2,4,4
169,1,2,5,3,5,1,5,1,4,4,4,5,2,3,4,4,2,5,4,4,2,4,2,4,2,5,4,4,2,4,2,4,4,5
170,4,5,4,4,2,4,1,5,2,1,2,4,2,4,4,2,4,4,2,2,2,4,1,2,1,5,2,4,2,4,3,4,2,4
