ac1,ac2,ac3,ac4,ac5,ac6,cc1,cc2,cc3,cc4,cc5,cc6,nc1,nc2,nc3,nc4,nc5,nc6
3.00,3.00,3.00,3.00,2.00,2.00,3.00,2.00,5.00,3.00,3.00,4.00,4.00,2.00,2.00,4.00,2.00,2.00
4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,3.00,4.00,3.00,4.00,3.00,2.00,3.00,2.00,3.00
3.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,4.00,3.00,4.00,4.00,4.00,2.00,2.00,3.00,2.00,2.00
5.00,3.00,4.00,3.00,4.00,4.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00
3.00,3.00,4.00,3.00,3.00,4.00,2.00,4.00,4.00,3.00,4.00,3.00,4.00,3.00,2.00,3.00,3.00,3.00
4.00,5.00,4.00,3.00,5.00,4.00,3.00,5.00,5.00,4.00,4.00,4.00,3.00,3.00,3.00,4.00,2.00,3.00
5.00,3.00,4.00,4.00,5.00,2.00,4.00,5.00,5.00,4.00,4.00,4.00,4.00,2.00,2.00,3.00,1.00,3.00
4.00,5.00,3.00,5.00,2.00,3.00,5.00,5.00,4.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,2.00,3.00
3.00,2.00,2.00,4.00,5.00,3.00,5.00,5.00,5.00,4.00,4.00,4.00,3.00,3.00,5.00,4.00,2.00,3.00
4.00,3.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,3.00,4.00,5.00,3.00,3.00,3.00,4.00,3.00,3.00
4.00,3.00,4.00,4.00,3.00,3.00,5.00,5.00,5.00,4.00,3.00,4.00,5.00,4.00,5.00,4.00,3.00,3.00
4.00,2.00,3.00,4.00,4.00,3.00,4.00,5.00,4.00,4.00,3.00,4.00,4.00,3.00,2.00,4.00,3.00,3.00
4.00,4.00,3.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00
3.00,3.00,3.00,4.00,3.00,3.00,3.00,4.00,4.00,3.00,4.00,5.00,4.00,2.00,3.00,3.00,3.00,3.00
3.00,3.00,4.00,4.00,3.00,4.00,4.00,5.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,3.00,4.00,3.00
3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,2.00,2.00,3.00,2.00,2.00
3.00,3.00,3.00,2.00,1.00,1.00,5.00,5.00,4.00,3.00,3.00,3.00,4.00,2.00,1.00,2.00,4.00,1.00
2.00,2.00,2.00,4.00,4.00,2.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,2.00,2.00,3.00,2.00,3.00
3.00,2.00,2.00,3.00,3.00,4.00,4.00,5.00,4.00,3.00,3.00,3.00,4.00,2.00,1.00,3.00,5.00,2.00
2.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,3.00,4.00,3.00,3.00,4.00,2.00,2.00,2.00,2.00,2.00
4.00,3.00,4.00,4.00,4.00,2.00,4.00,4.00,5.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00
3.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,2.00,2.00,3.00,2.00,2.00
4.00,3.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,1.00,1.00,2.00,2.00,2.00
4.00,4.00,3.00,4.00,4.00,1.00,5.00,4.00,5.00,2.00,5.00,4.00,4.00,2.00,1.00,4.00,4.00,1.00
4.00,3.00,3.00,4.00,3.00,1.00,5.00,5.00,5.00,3.00,4.00,4.00,4.00,2.00,2.00,3.00,4.00,1.00
4.00,3.00,3.00,3.00,3.00,2.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,2.00,3.00,3.00,3.00,3.00
5.00,5.00,2.00,5.00,5.00,2.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,2.00,2.00,3.00,2.00,2.00
3.00,2.00,2.00,3.00,4.00,2.00,4.00,5.00,5.00,4.00,3.00,3.00,4.00,2.00,2.00,3.00,2.00,2.00
3.00,3.00,3.00,4.00,3.00,1.00,5.00,4.00,5.00,2.00,5.00,2.00,5.00,1.00,2.00,4.00,4.00,1.00
4.00,3.00,3.00,4.00,4.00,2.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,3.00,3.00,3.00,3.00
3.00,2.00,2.00,4.00,4.00,2.00,4.00,5.00,5.00,4.00,3.00,4.00,4.00,3.00,3.00,3.00,2.00,2.00
4.00,3.00,3.00,5.00,4.00,2.00,5.00,4.00,4.00,5.00,5.00,4.00,5.00,3.00,5.00,5.00,4.00,4.00
4.00,4.00,3.00,4.00,3.00,2.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,2.00,2.00,1.00,2.00,2.00
1.00,2.00,4.00,1.00,3.00,1.00,1.00,3.00,2.00,3.00,3.00,2.00,5.00,4.00,4.00,5.00,5.00,5.00
4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,2.00,3.00,3.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00
3.00,3.00,4.00,3.00,3.00,2.00,4.00,4.00,3.00,3.00,3.00,5.00,4.00,2.00,2.00,2.00,2.00,2.00
3.00,3.00,4.00,4.00,4.00,1.00,5.00,4.00,4.00,2.00,3.00,4.00,5.00,2.00,1.00,2.00,1.00,1.00
4.00,4.00,3.00,3.00,3.00,2.00,4.00,4.00,4.00,2.00,5.00,3.00,3.00,2.00,1.00,1.00,2.00,2.00
4.00,3.00,4.00,3.00,3.00,4.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,2.00,2.00,3.00,3.00,3.00
4.00,4.00,4.00,5.00,4.00,4.00,5.00,4.00,4.00,5.00,4.00,5.00,4.00,3.00,3.00,4.00,4.00,4.00
3.00,2.00,2.00,2.00,2.00,3.00,5.00,4.00,4.00,3.00,3.00,4.00,3.00,2.00,1.00,3.00,1.00,1.00
3.00,2.00,2.00,3.00,3.00,4.00,4.00,5.00,4.00,4.00,4.00,3.00,3.00,1.00,2.00,3.00,4.00,1.00
3.00,3.00,3.00,3.00,2.00,2.00,4.00,4.00,3.00,4.00,3.00,4.00,3.00,2.00,2.00,4.00,2.00,4.00
3.00,2.00,3.00,3.00,3.00,3.00,4.00,3.00,3.00,3.00,4.00,3.00,3.00,4.00,4.00,4.00,3.00,3.00
3.00,3.00,3.00,2.00,2.00,3.00,2.00,3.00,3.00,4.00,4.00,4.00,4.00,5.00,5.00,3.00,4.00,4.00
2.00,3.00,3.00,2.00,1.00,1.00,5.00,5.00,5.00,2.00,4.00,4.00,4.00,2.00,1.00,3.00,3.00,1.00
3.00,3.00,3.00,3.00,3.00,2.00,4.00,5.00,4.00,5.00,4.00,3.00,5.00,1.00,3.00,2.00,3.00,4.00
5.00,5.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,3.00,2.00,4.00,3.00,3.00,2.00,2.00,2.00,3.00
3.00,3.00,3.00,3.00,4.00,2.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00
4.00,3.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,3.00,5.00,3.00,5.00,5.00,5.00,5.00
4.00,3.00,4.00,4.00,4.00,5.00,4.00,5.00,4.00,4.00,5.00,3.00,4.00,2.00,5.00,5.00,5.00,5.00
3.00,3.00,4.00,4.00,4.00,5.00,2.00,4.00,5.00,2.00,4.00,3.00,5.00,2.00,2.00,3.00,2.00,3.00
4.00,3.00,4.00,4.00,5.00,3.00,4.00,3.00,4.00,3.00,5.00,3.00,4.00,4.00,4.00,4.00,3.00,3.00
5.00,4.00,5.00,4.00,5.00,5.00,4.00,3.00,5.00,4.00,5.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00
4.00,4.00,4.00,5.00,5.00,5.00,4.00,4.00,5.00,4.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00
4.00,3.00,4.00,5.00,5.00,5.00,4.00,4.00,5.00,3.00,4.00,4.00,5.00,3.00,5.00,5.00,5.00,4.00
4.00,4.00,4.00,3.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,4.00,5.00,4.00,4.00
4.00,3.00,4.00,4.00,4.00,5.00,2.00,3.00,5.00,3.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
4.00,3.00,4.00,4.00,5.00,5.00,3.00,4.00,5.00,3.00,4.00,4.00,4.00,3.00,3.00,4.00,3.00,3.00
5.00,4.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,4.00,3.00,4.00,4.00,5.00,5.00
4.00,4.00,5.00,5.00,5.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00
4.00,2.00,3.00,3.00,4.00,4.00,5.00,4.00,4.00,5.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00
4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,5.00,4.00,4.00,4.00
4.00,3.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
5.00,4.00,4.00,3.00,4.00,4.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,4.00,3.00,4.00,5.00,4.00,5.00,4.00,4.00
4.00,4.00,4.00,3.00,4.00,2.00,4.00,2.00,4.00,4.00,3.00,3.00,5.00,3.00,3.00,4.00,5.00,5.00
4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,4.00,3.00,3.00,5.00,4.00,4.00,4.00
5.00,4.00,4.00,5.00,4.00,4.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
5.00,5.00,5.00,4.00,5.00,4.00,5.00,5.00,5.00,4.00,4.00,5.00,4.00,3.00,3.00,3.00,3.00,3.00
4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,4.00,3.00,5.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00
4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,3.00,3.00,3.00,3.00,4.00
4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00
4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,3.00,3.00,3.00,4.00,4.00
4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00
4.00,4.00,4.00,3.00,4.00,5.00,4.00,3.00,4.00,3.00,4.00,3.00,5.00,4.00,3.00,3.00,3.00,4.00
3.00,2.00,3.00,4.00,4.00,5.00,4.00,3.00,5.00,4.00,5.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00
4.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00
5.00,3.00,4.00,4.00,4.00,5.00,3.00,2.00,5.00,4.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00
4.00,4.00,4.00,4.00,4.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,4.00,3.00,4.00,4.00,5.00,5.00
4.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,3.00,3.00,4.00,3.00,4.00
4.00,2.00,3.00,2.00,3.00,3.00,4.00,2.00,5.00,3.00,3.00,5.00,5.00,5.00,4.00,5.00,5.00,4.00
4.00,4.00,3.00,5.00,5.00,4.00,2.00,1.00,4.00,3.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00
3.00,4.00,4.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00,4.00,3.00,4.00,4.00,4.00,3.00,4.00,3.00
4.00,4.00,5.00,4.00,3.00,4.00,3.00,2.00,3.00,5.00,5.00,3.00,5.00,3.00,3.00,4.00,5.00,5.00
5.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,3.00,5.00,5.00,5.00,5.00
3.00,4.00,4.00,5.00,5.00,5.00,3.00,3.00,3.00,4.00,3.00,3.00,5.00,4.00,4.00,5.00,5.00,4.00
4.00,3.00,4.00,5.00,2.00,5.00,5.00,4.00,5.00,4.00,5.00,4.00,5.00,4.00,4.00,4.00,3.00,3.00
4.00,4.00,3.00,4.00,3.00,4.00,4.00,4.00,3.00,5.00,3.00,4.00,5.00,4.00,4.00,3.00,4.00,3.00
4.00,4.00,4.00,2.00,3.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,5.00,4.00,4.00,3.00,3.00,4.00
4.00,3.00,3.00,4.00,3.00,4.00,5.00,4.00,4.00,4.00,5.00,4.00,4.00,4.00,4.00,4.00,4.00,3.00
4.00,4.00,4.00,5.00,2.00,4.00,5.00,5.00,5.00,4.00,5.00,5.00,5.00,4.00,4.00,4.00,3.00,3.00
